Gene,Temp37_effect_size,Temp37_fdr
orf19.1685,0.192564272,0.568920081
orf19.7436.1,0.192281221,0.657251001
orf19.3142,0.192146096,0.726330203
orf19.4793,0.191375225,0.643736659
orf19.2671,0.189006811,0.501854041
orf19.7652,0.188755769,0.717637066
orf19.3423,0.186838977,0.557157925
orf19.1037,0.186391102,0.65270756
orf19.4197,0.186361444,0.6007985
orf19.5728,0.184947311,0.597604611
orf19.3874,0.184829645,0.758951616
orf19.6717,0.184534863,0.753392291
orf19.5931,0.184453507,0.578813554
orf19.4229,0.184280336,0.631138936
orf19.304,0.183628384,0.597881972
orf19.5134,0.183184022,0.623972539
orf19.7377,0.182977646,0.64939712
orf19.2481,0.18282993,0.4571331
orf19.1089,0.182311577,0.618232026
orf19.6730,0.182306781,0.602600631
orf19.7151,0.181336479,0.681183042
orf19.2054,0.180630119,0.60804347
orf19.3827,0.180626794,0.750262755
orf19.6854,0.179954154,0.636364685
orf19.7114,0.179767562,0.669053709
orf19.5814,0.179504608,0.631733248
